ID_PLANO;CD_PLANO;NM_PLANO;CD_OPERADORA;RAZAO_SOCIAL;GR_MODALIDADE;PORTE_OPERADORA;VIGENCIA_PLANO;CONTRATACAO;GR_CONTRATACAO;SGMT_ASSISTENCIAL;GR_SGMT_ASSISTENCIAL;LG_ODONTOLOGICO;OBSTETRICIA;COBERTURA;TIPO_FINANCIAMENTO;ABRANGENCIA_COBERTURA;FATOR_MODERADOR;ACOMODACAO_HOSPITALAR;LIVRE_ESCOLHA;SITUACAO_PLANO;DT_SITUACAO;DT_REGISTRO_PLANO;DT_ATUALIZACAO;ANO_REGISTRO
18414598;490006215;POTENCIAL 200A;422762;Sociedade Portuguesa De Beneficencia;Filantropia;Pequena;P;Coletivo por adesão;Coletivo por adesão;Ambulatorial + Hospitalar com obstetrícia;Ambulatorial + Hospitalar;0;Com Obstetrícia;Médico-hospitalar;Pre-estabelecido;Municipal;Co-participacão;Individual;Ausente;Ativo;28/09/2021;28/09/2021;30/08/2022;2021
18500088;492526222;POTENCIAL 200E GM;422762;Sociedade Portuguesa De Beneficencia;Filantropia;Pequena;P;Coletivo por adesão;Coletivo por adesão;Ambulatorial + Hospitalar com obstetrícia;Ambulatorial + Hospitalar;0;Com Obstetrícia;Médico-hospitalar;Pre-estabelecido;Grupo de municípios;Co-participacão;Coletiva;Ausente;Ativo;30/05/2022;30/05/2022;30/08/2022;2022
18500108;492528229;CONFIANÇA 200E GM;422762;Sociedade Portuguesa De Beneficencia;Filantropia;Pequena;P;Coletivo empresarial;Coletivo empresarial;Ambulatorial + Hospitalar com obstetrícia;Ambulatorial + Hospitalar;0;Com Obstetrícia;Médico-hospitalar;Pre-estabelecido;Grupo de municípios;Co-participacão;Coletiva;Ausente;Ativo;30/05/2022;30/05/2022;30/08/2022;2022
18443929;490721213;DENTAL IND/FAM;422975;Dentalmaster Ltda;Odontologia De Grupo;Pequena;P;Individual ou familiar;Individual ou Familiar;Odontológico;Exclusivamente Odontológico;1;Não se aplica;Odontológico;Pre-estabelecido;Grupo de municípios;Ausente;Não se aplica;Ausente;Ativo;07/12/2021;07/12/2021;30/08/2022;2021
18381488;489143211;COLETIVO EMPRESARIAL REFERÊNCIA;422771;Plan Saúde Ltda;Medicina De Grupo;Pequena;P;Coletivo empresarial;Coletivo empresarial;Referência;Ambulatorial + Hospitalar;0;Com Obstetrícia;Médico-hospitalar;Pre-estabelecido;Municipal;Ausente;Coletiva;Ausente;Ativo;22/06/2021;22/06/2021;30/08/2022;2021
18394851;489415214;PLANO PLUS SILVER;422851;Liodonto Planos De Assistencia E Servicos Odontologicos Eireli;Odontologia De Grupo;Pequena;P;Individual ou familiar;Individual ou Familiar;Odontológico;Exclusivamente Odontológico;1;Não se aplica;Odontológico;Pre-estabelecido;Municipal;Ausente;Não se aplica;Ausente;Ativo;22/07/2021;22/07/2021;30/08/2022;2021
18394860;489416212;PLANO PLUS GOLD;422851;Liodonto Planos De Assistencia E Servicos Odontologicos Eireli;Odontologia De Grupo;Pequena;P;Coletivo por adesão;Coletivo por adesão;Odontológico;Exclusivamente Odontológico;1;Não se aplica;Odontológico;Pre-estabelecido;Municipal;Ausente;Não se aplica;Ausente;Ativo;22/07/2021;22/07/2021;30/08/2022;2021
18481810;491869220;Clínico Estetic Plus;423050;Dental White Plano De Assistência Odontológica Ltda;Odontologia De Grupo;Pequena;P;Individual ou familiar;Individual ou Familiar;Odontológico;Exclusivamente Odontológico;1;Não se aplica;Odontológico;Pre-estabelecido;Grupo de municípios;Ausente;Não se aplica;Ausente;Ativo;04/04/2022;04/04/2022;30/08/2022;2022
18491485;492226223;Porcelana;423050;Dental White Plano De Assistência Odontológica Ltda;Odontologia De Grupo;Pequena;P;Individual ou familiar;Individual ou Familiar;Odontológico;Exclusivamente Odontológico;1;Não se aplica;Odontológico;Pre-estabelecido;Grupo de municípios;Ausente;Não se aplica;Ausente;Ativo;02/05/2022;02/05/2022;30/08/2022;2022
18486475;492038224;Metálico Empresarial;423050;Dental White Plano De Assistência Odontológica Ltda;Odontologia De Grupo;Pequena;P;Coletivo empresarial;Coletivo empresarial;Odontológico;Exclusivamente Odontológico;1;Não se aplica;Odontológico;Pre-estabelecido;Grupo de municípios;Ausente;Não se aplica;Ausente;Ativo;19/04/2022;19/04/2022;30/08/2022;2022
18446202;490787216;NOVOPLANO REFERENCIA EMPRESARIAL;423106;Saude Integral Assistencia Medica Ltda;Medicina De Grupo;Pequena;P;Coletivo empresarial;Coletivo empresarial;Referência;Ambulatorial + Hospitalar;0;Com Obstetrícia;Médico-hospitalar;Pre-estabelecido;Grupo de municípios;Ausente;Coletiva;Ausente;Ativo;14/12/2021;14/12/2021;30/08/2022;2021
18297560;486736200;+ Sorriso Pessoas BA;422355;Pd Brasil Assistencia Odontologica Eireli;Odontologia De Grupo;Pequena;P;Individual ou familiar;Individual ou Familiar;Odontológico;Exclusivamente Odontológico;1;Não se aplica;Odontológico;Pre-estabelecido;Grupo de municípios;Ausente;Não se aplica;Ausente;Cancelado;09/11/2021;02/09/2020;30/08/2022;2020
18529540;493205226;Coletivo Empresarial Smile;422843;Trasmontano Odontologia Ltda;Odontologia De Grupo;Pequena;P;Coletivo empresarial;Coletivo empresarial;Odontológico;Exclusivamente Odontológico;1;Não se aplica;Odontológico;Pre-estabelecido;Grupo de municípios;Ausente;Não se aplica;Ausente;Ativo;23/08/2022;23/08/2022;30/08/2022;2022
18343408;487956212;Plano JariMed Coletivo por Adesão;422452;Jarimed Assistencia Medica Ltda.;Medicina De Grupo;Pequena;P;Coletivo por adesão;Coletivo por adesão;Referência;Ambulatorial + Hospitalar;0;Com Obstetrícia;Médico-hospitalar;Pre-estabelecido;Municipal;Ausente;Coletiva;Ausente;Cancelado;09/11/2021;22/01/2021;30/08/2022;2021
18215134;484845204;UNIMED FLEX PESSOA FISICA - ENFERMARIA;320897;Unimed Centro Sul Fluminense Cooperativa De Trabalho Médico;Cooperativa Médica;Pequena;P;Individual ou familiar;Individual ou Familiar;Ambulatorial + Hospitalar com obstetrícia;Ambulatorial + Hospitalar;0;Com Obstetrícia;Médico-hospitalar;Pre-estabelecido;Nacional;Co-participacão;Coletiva;Ausente;Ativo;30/01/2020;30/01/2020;30/08/2022;2020
18499620;492511224;Unimed Personal;342386;Unimed De Tres Lagoas Cooperativa De Trabalho Médico;Cooperativa Médica;Pequena;P;Coletivo empresarial;Coletivo empresarial;Ambulatorial + Hospitalar com obstetrícia;Ambulatorial + Hospitalar;0;Com Obstetrícia;Médico-hospitalar;Pre-estabelecido;Municipal;Franquia + Co-participacão;Coletiva;Ausente;Ativo;27/05/2022;27/05/2022;30/08/2022;2022
18379470;489070211;Coletivo Adesão Básico  Apartamento c/Obst. Estadual;342386;Unimed De Tres Lagoas Cooperativa De Trabalho Médico;Cooperativa Médica;Pequena;P;Coletivo por adesão;Coletivo por adesão;Ambulatorial + Hospitalar com obstetrícia;Ambulatorial + Hospitalar;0;Com Obstetrícia;Médico-hospitalar;Pre-estabelecido;Estadual;Ausente;Individual;Ausente;Ativo;11/06/2021;11/06/2021;30/08/2022;2021
18324800;487469202;Business Lite 50 + Obstetrícia;326755;Associação Evangelica Beneficente De Londrina;Filantropia;Média;P;Coletivo empresarial;Coletivo empresarial;Ambulatorial + Hospitalar com obstetrícia;Ambulatorial + Hospitalar;0;Com Obstetrícia;Médico-hospitalar;Pre-estabelecido;Municipal;Co-participacão;Coletiva;Ausente;Ativo;18/11/2020;18/11/2020;30/08/2022;2020
18449251;490888211;APS Vida Lite 30 + Obs;326755;Associação Evangelica Beneficente De Londrina;Filantropia;Média;P;Individual ou familiar;Individual ou Familiar;Ambulatorial + Hospitalar com obstetrícia;Ambulatorial + Hospitalar;0;Com Obstetrícia;Médico-hospitalar;Pre-estabelecido;Municipal;Co-participacão;Coletiva;Ausente;Ativo;28/12/2021;28/12/2021;30/08/2022;2021
18132415;482916196;Top Life Hospitalar com Coparticipação sem Odonto II;392804;Centro Clínico Gaúcho Ltda;Medicina De Grupo;Grande;P;Coletivo empresarial;Coletivo empresarial;Ambulatorial + Hospitalar com obstetrícia;Ambulatorial + Hospitalar;0;Com Obstetrícia;Médico-hospitalar;Pre-estabelecido;Grupo de municípios;Co-participacão;Coletiva;Ausente;Suspenso;20/05/2020;14/05/2019;30/08/2022;2019
18106672;482298196;CCG ODONTO - COLETIVO EMPRESARIAL;392804;Centro Clínico Gaúcho Ltda;Medicina De Grupo;Grande;P;Coletivo empresarial;Coletivo empresarial;Odontológico;Exclusivamente Odontológico;1;Não se aplica;Odontológico;Pre-estabelecido;Grupo de municípios;Co-participacão;Não se aplica;Ausente;Ativo;13/02/2019;13/02/2019;30/08/2022;2019
18229562;485103200;CCG POP - ADESÃO GLOBAL QC I;392804;Centro Clínico Gaúcho Ltda;Medicina De Grupo;Grande;P;Coletivo por adesão;Coletivo por adesão;Ambulatorial + Hospitalar com obstetrícia;Ambulatorial + Hospitalar;0;Com Obstetrícia;Médico-hospitalar;Pre-estabelecido;Estadual;Co-participacão;Coletiva;Ausente;Ativo;13/03/2020;13/03/2020;30/08/2022;2020
18230727;485151200;CCG POP - INDIVIDUAL AMBULATORIAL PD I;392804;Centro Clínico Gaúcho Ltda;Medicina De Grupo;Grande;P;Individual ou familiar;Individual ou Familiar;Ambulatorial;Ambulatorial;0;Não se aplica;Médico-hospitalar;Pre-estabelecido;Estadual;Co-participacão;Não se aplica;Ausente;Ativo;18/03/2020;18/03/2020;30/08/2022;2020
18230749;485153206;CCG POP - INDIVIDUAL GLOBAL PD I;392804;Centro Clínico Gaúcho Ltda;Medicina De Grupo;Grande;P;Individual ou familiar;Individual ou Familiar;Ambulatorial + Hospitalar com obstetrícia;Ambulatorial + Hospitalar;0;Com Obstetrícia;Médico-hospitalar;Pre-estabelecido;Estadual;Co-participacão;Coletiva;Ausente;Ativo;18/03/2020;18/03/2020;30/08/2022;2020
18230760;485154204;CCG POP - INDIVIDUAL GLOBAL PD II;392804;Centro Clínico Gaúcho Ltda;Medicina De Grupo;Grande;P;Individual ou familiar;Individual ou Familiar;Ambulatorial + Hospitalar com obstetrícia + Odontológico;Ambulatorial + Hospitalar;1;Com Obstetrícia;Médico-hospitalar;Pre-estabelecido;Estadual;Co-participacão;Coletiva;Ausente;Ativo;18/03/2020;18/03/2020;30/08/2022;2020
18230820;485160209;CCG MULTI - EMPRESARIAL GLOBAL PD IV;392804;Centro Clínico Gaúcho Ltda;Medicina De Grupo;Grande;P;Coletivo empresarial;Coletivo empresarial;Ambulatorial + Hospitalar com obstetrícia + Odontológico;Ambulatorial + Hospitalar;1;Com Obstetrícia;Médico-hospitalar;Pre-estabelecido;Estadual;Co-participacão;Individual;Ausente;Ativo;18/03/2020;18/03/2020;30/08/2022;2020
18256351;485807207;CCG MULTI - ADESÃO GLOBAL PD IV;392804;Centro Clínico Gaúcho Ltda;Medicina De Grupo;Grande;P;Coletivo por adesão;Coletivo por adesão;Ambulatorial + Hospitalar com obstetrícia + Odontológico;Ambulatorial + Hospitalar;1;Com Obstetrícia;Médico-hospitalar;Pre-estabelecido;Estadual;Co-participacão;Individual;Ausente;Ativo;01/06/2020;01/06/2020;30/08/2022;2020
18258253;485862200;CCG MULTI - INDIVIDUAL GLOBAL SC I;392804;Centro Clínico Gaúcho Ltda;Medicina De Grupo;Grande;P;Individual ou familiar;Individual ou Familiar;Ambulatorial + Hospitalar com obstetrícia;Ambulatorial + Hospitalar;0;Com Obstetrícia;Médico-hospitalar;Pre-estabelecido;Estadual;Co-participacão;Coletiva;Ausente;Suspenso;20/09/2021;04/06/2020;30/08/2022;2020
18439681;490594216;CCG MULTI Vale do Sinos II;392804;Centro Clínico Gaúcho Ltda;Medicina De Grupo;Grande;P;Coletivo empresarial;Coletivo empresarial;Ambulatorial + Hospitalar com obstetrícia;Ambulatorial + Hospitalar;0;Com Obstetrícia;Médico-hospitalar;Pre-estabelecido;Grupo de municípios;Co-participacão;Coletiva;Ausente;Ativo;18/11/2021;18/11/2021;30/08/2022;2021
18247591;485583203;CCG ODONTO TOP - ADESÃO;392804;Centro Clínico Gaúcho Ltda;Medicina De Grupo;Grande;P;Coletivo por adesão;Coletivo por adesão;Odontológico;Exclusivamente Odontológico;1;Não se aplica;Odontológico;Pre-estabelecido;Estadual;Co-participacão;Não se aplica;Ausente;Suspenso;05/01/2022;13/05/2020;30/08/2022;2020
18247611;485585200;CCG ODONTO POP - INDIVIDUAL;392804;Centro Clínico Gaúcho Ltda;Medicina De Grupo;Grande;P;Individual ou familiar;Individual ou Familiar;Odontológico;Exclusivamente Odontológico;1;Não se aplica;Odontológico;Pre-estabelecido;Estadual;Co-participacão;Não se aplica;Ausente;Suspenso;05/01/2022;13/05/2020;30/08/2022;2020
18527376;493126222;NOSSO PLANO INTEGRADO CCG CE ENF S_OBS;392804;Centro Clínico Gaúcho Ltda;Medicina De Grupo;Grande;P;Coletivo empresarial;Coletivo empresarial;Ambulatorial + Hospitalar sem obstetrícia;Ambulatorial + Hospitalar;0;Sem Obstetrícia;Médico-hospitalar;Pre-estabelecido;Grupo de municípios;Ausente;Coletiva;Ausente;Ativo;17/08/2022;17/08/2022;30/08/2022;2022
18527397;493128229;NOSSO PLANO INTEGRADO CCG CE CP ENF;392804;Centro Clínico Gaúcho Ltda;Medicina De Grupo;Grande;P;Coletivo empresarial;Coletivo empresarial;Ambulatorial + Hospitalar com obstetrícia;Ambulatorial + Hospitalar;0;Com Obstetrícia;Médico-hospitalar;Pre-estabelecido;Grupo de municípios;Co-participacão;Coletiva;Ausente;Ativo;17/08/2022;17/08/2022;30/08/2022;2022
18314037;487225208;Agulhas Negras Pop Copart Individual;324299;Plamer Plano Medico Resende Ltda;Medicina De Grupo;Pequena;P;Individual ou familiar;Individual ou Familiar;Ambulatorial + Hospitalar com obstetrícia;Ambulatorial + Hospitalar;0;Com Obstetrícia;Médico-hospitalar;Pre-estabelecido;Grupo de municípios;Co-participacão;Coletiva;Ausente;Suspenso;23/03/2022;26/10/2020;30/08/2022;2020
18339279;487849213;VOCE PLUS PME APT COP;422487;Você Total Planos De Saúde Limitada;Medicina De Grupo;Pequena;P;Coletivo empresarial;Coletivo empresarial;Ambulatorial + Hospitalar com obstetrícia;Ambulatorial + Hospitalar;0;Com Obstetrícia;Médico-hospitalar;Pre-estabelecido;Grupo de municípios;Co-participacão;Individual;Ausente;Ativo;05/01/2021;05/01/2021;30/08/2022;2021
18394739;489404219;Você Total Empresas Enf.;422487;Você Total Planos De Saúde Limitada;Medicina De Grupo;Pequena;P;Coletivo empresarial;Coletivo empresarial;Ambulatorial + Hospitalar com obstetrícia;Ambulatorial + Hospitalar;0;Com Obstetrícia;Médico-hospitalar;Pre-estabelecido;Grupo de municípios;Co-participacão;Coletiva;Ausente;Ativo;22/07/2021;22/07/2021;30/08/2022;2021
18114698;482463196;MAXI XI;419583;Odontomaxi Operadora De Planos Odontológicos Ltda;Odontologia De Grupo;Pequena;P;Coletivo empresarial;Coletivo empresarial;Odontológico;Exclusivamente Odontológico;1;Não se aplica;Odontológico;Pre-estabelecido;Grupo de estados;Ausente;Não se aplica;Ausente;Ativo;14/03/2019;14/03/2019;30/08/2022;2019
18101984;482232193;MAXI VI;419583;Odontomaxi Operadora De Planos Odontológicos Ltda;Odontologia De Grupo;Pequena;P;Coletivo empresarial;Coletivo empresarial;Odontológico;Exclusivamente Odontológico;1;Não se aplica;Odontológico;Pre-estabelecido;Grupo de estados;Ausente;Não se aplica;Ausente;Suspenso;16/12/2019;30/01/2019;30/08/2022;2019
18271092;486100201;MAXI PLUS ADESÃO;419583;Odontomaxi Operadora De Planos Odontológicos Ltda;Odontologia De Grupo;Pequena;P;Coletivo por adesão;Coletivo por adesão;Odontológico;Exclusivamente Odontológico;1;Não se aplica;Odontológico;Pre-estabelecido;Grupo de estados;Ausente;Não se aplica;Ausente;Ativo;02/07/2020;02/07/2020;30/08/2022;2020
